               ,     Estimate, Std. Error,    t value,     Pr(>|t|)
(Intercept)    ,   3.34444862, 0.02232163, 149.829948, 0.000000e+00
UMM            , -10.39483991, 0.17634446, -58.946222, 0.000000e+00
UMMR           ,   3.12383189, 0.04373129,  71.432418, 0.000000e+00
credit_cards2  ,   0.12708290, 0.02202006,   5.771233, 8.230490e-09
take_outs      ,  -0.11502261, 0.02091176,  -5.500380, 3.933524e-08
waiter         ,  -0.05810009, 0.01596976,  -3.638131, 2.767446e-04
casual         ,   0.12549213, 0.01963855,   6.390092, 1.772207e-10
desert         ,   0.24060945, 0.06678392,   3.602805, 3.171451e-04
lunch          ,   0.07157012, 0.01930690,   3.706970, 2.114914e-04
outdoor_seating,   0.04535317, 0.01497394,   3.028807, 2.464820e-03
good_for_kids  ,  -0.08824469, 0.02010163,  -4.389928, 1.151764e-05
wheelchair     ,   0.07318287, 0.01518695,   4.818801, 1.476888e-06